name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 20:00:26,Hellas Verona
Londres(Coord.51°30′33″N0°13′56″O﻿ / ﻿51.509167,No data,No data,No data,No data,No data,No data,No data,Queens Park Rangers
Watford(Coord.51°38′59″N0°24′05″O﻿ / ﻿51.649836,No data,No data,No data,No data,No data,No data,No data,Watford FC
Trinity Road,No data,No data,No data,No data,No data,No data,No data,Aston Villa
Fráncfort,50.1106444,8.6820917,Hesse,DE,Clear,clear sky,2024-03-26 20:00:27,Eintracht Frankfurt
Budapest,No data,No data,No data,No data,No data,No data,No data,Ferencvárosi TC
Av. Boulogne Sur Mer y Lavalle,No data,No data,No data,No data,No data,No data,No data,Club Atlético Lanús II
Av. Montilivi,No data,No data,No data,No data,No data,No data,No data,Girona FC
Cluj-Napoca,No data,No data,No data,No data,No data,No data,No data,CFR Cluj
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers
No data,No data,No data,No data,No data,No data,No data,No data,Dinamo Tbilisi
Plovdiv,No data,No data,No data,No data,No data,No data,No data,Botev Plovdiv
Via Giovanni de Prà,No data,No data,No data,No data,No data,No data,No data,Genoa CFC
Londres,51.5073219,-0.1276474,England,GB,Clouds,overcast clouds,2024-03-26 20:00:24,Tottenham Hotspur
Como,45.8115623,9.0830353,Lombardy,IT,Rain,moderate rain,2024-03-26 20:00:29,Como 1907
Guimarães,No data,No data,No data,No data,No data,No data,No data,Vitória Guimarães SC
Balcarce 477,No data,No data,No data,No data,No data,No data,No data,CD Godoy Cruz Antonio Tomba
Sinsheim,49.2553,8.87722,Baden-Württemberg,DE,Clouds,overcast clouds,2024-03-26 20:00:31,TSG 1899 Hoffenheim
Údine,46.0634632,13.2358377,Friuli-Venezia Giulia,IT,Clouds,broken clouds,2024-03-26 20:00:31,Udinese Calcio
Norwich(Coord.52°37′20″N1°18′31″E﻿ / ﻿52.622128,No data,No data,No data,No data,No data,No data,No data,Norwich City
Núremberg,49.453872,11.077298,Bavaria,DE,Clear,clear sky,2024-03-26 19:59:08,1.FC Nuremberg
No data,No data,No data,No data,No data,No data,No data,No data,Sociedade Esportiva Palmeiras
Kiev,No data,No data,No data,No data,No data,No data,No data,Dynamo Kyiv
Nantes,47.2186371,-1.5541362,Pays de la Loire,FR,Clear,clear sky,2024-03-26 20:00:33,FC Nantes
Bastia,42.7008676,9.4512866,Corsica,FR,Clouds,broken clouds,2024-03-26 20:00:34,SC Bastia
Gwangju,No data,No data,No data,No data,No data,No data,No data,Gwangju FC
Enrique Olivares 1003La Florida,No data,No data,No data,No data,No data,No data,No data,Audax Italiano
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 19:58:15,Cruzeiro Esporte Clube
Teherán,No data,No data,No data,No data,No data,No data,No data,Persepolis FC
Atlanta,33.7489924,-84.3902644,Georgia,US,Clouds,overcast clouds,2024-03-26 19:56:22,Atlanta United FC
Belgrado,44.8178131,20.4568974,Central Serbia,RS,Rain,light rain,2024-03-26 19:59:12,FK Partizan Belgrade
Kragujevac,44.0130251,20.91925,Central Serbia,RS,Clouds,overcast clouds,2024-03-26 20:00:37,FK Radnicki 1923 Kragujevac
C/ Pintor Manuel Maldonado s/nGranada,No data,No data,No data,No data,No data,No data,No data,Granada CF
Mánchester,53.4794892,-2.2451148,England,GB,Rain,light rain,2024-03-26 19:57:39,Manchester City
Novi Sad,45.2551338,19.8451756,Vojvodina,RS,Rain,moderate rain,2024-03-26 20:00:22,FK Vojvodina Novi Sad
Estrasburgo,48.584614,7.7507127,Grand Est,FR,Clear,clear sky,2024-03-26 20:00:40,RC Strasbourg Alsace
Niš,43.3211301,21.8959232,Central Serbia,RS,Clouds,broken clouds,2024-03-26 20:00:41,FK Radnicki Nis
Debrecen,No data,No data,No data,No data,No data,No data,No data,Debreceni VSC
Balcarce 477,No data,No data,No data,No data,No data,No data,No data,CD Godoy Cruz Antonio Tomba
Novi Pazar,43.1363535,20.5112273,Central Serbia,RS,Clouds,overcast clouds,2024-03-26 20:00:42,FK Novi Pazar
Lazarevac,44.3815176,20.261033,Central Serbia,RS,Rain,moderate rain,2024-03-26 20:00:43,FK Kolubara Lazarevac
Degerfors,No data,No data,No data,No data,No data,No data,No data,Degerfors IF
Giresun,No data,No data,No data,No data,No data,No data,No data,Giresunspor
